State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
35,3,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,7
35,3,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,8
35,3,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,2
35,3,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,0
35,3,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,2
35,3,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,4
35,3,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,9
35,3,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,16
35,3,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,15
35,3,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,9
35,3,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,13
35,3,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,6
35,3,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,8
35,3,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,2
35,3,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,0
35,3,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In seeing,0
35,1,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,1
35,1,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,2
35,1,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,2
35,1,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,5
35,1,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,13
35,1,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,9
35,1,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,5
35,1,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,10
35,1,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,8
35,1,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,1
35,1,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,1,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In seeing,0
35,2,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,3
35,2,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,2
35,2,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,21
35,2,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,12
35,2,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,26
35,2,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,33
35,2,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,55
35,2,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,59
35,2,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,35
35,2,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,11
35,2,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,3
35,2,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,1
35,2,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,1
35,2,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,2
35,2,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,2,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,3,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,5
35,3,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,4
35,3,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,8
35,3,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,16
35,3,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,12
35,3,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,15
35,3,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,7
35,3,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,14
35,3,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,8
35,3,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,3
35,3,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,3,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,3,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,4
35,3,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,5
35,3,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,14
35,3,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,13
35,3,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,14
35,3,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,8
35,3,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,6
35,3,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,4
35,3,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,4
35,3,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,2
35,3,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,3,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In seeing,0
35,1,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,3
35,1,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,6
35,1,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,4
35,1,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,3
35,1,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,3
35,1,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,1
35,1,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,1,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Nicobars,Male,In Speech,0
35,2,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,5
35,2,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,11
35,2,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,29
35,2,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,31
35,2,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,7
35,2,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,9
35,2,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,5
35,2,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,6
35,2,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,3
35,2,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,1
35,2,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,2,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,3,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,1
35,3,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,11
35,3,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,19
35,3,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,22
35,3,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,15
35,3,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,9
35,3,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,6
35,3,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,2
35,3,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,3
35,3,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,3,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,1
35,3,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,3,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,2
35,3,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,10
35,3,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,21
35,3,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,25
35,3,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,18
35,3,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,10
35,3,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,6
35,3,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,5
35,3,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,2
35,3,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,1
35,3,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,3,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Male,In Speech,0
35,1,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,2
35,1,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,9
35,1,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,3
35,1,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,2
35,1,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,1
35,1,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,2
35,1,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,30-39,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,40-49,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,50-59,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,60-69,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,70-79,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,80-89,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,90+,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,1,Urban,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Nicobars,Female,In Speech,0
35,2,Rural,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,2
35,2,Rural,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,12
35,2,Rural,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,20
35,2,Rural,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,19
35,2,Rural,30-39,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,8
35,2,Rural,40-49,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,3
35,2,Rural,50-59,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,3
35,2,Rural,60-69,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,5
35,2,Rural,70-79,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,2
35,2,Rural,80-89,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,0
35,2,Rural,90+,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,1
35,2,Rural,Age Not Stated,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,0
35,2,Urban,0-4,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,0
35,2,Urban,5-9,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,0
35,2,Urban,10-19,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,0
35,2,Urban,20-29,ANDAMAN & NICOBAR ISLANDS,Andamans,Female,In Speech,0
