Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,9,1,District-Saharanpur,Rural,0-4,136,359,290,23,22,99,64,85,55
C4920,9,1,District-Saharanpur,Rural,5-9,197,392,373,228,152,233,126,226,140
C4920,9,1,District-Saharanpur,Rural,10-19,519,958,922,461,308,1480,856,766,469
C4920,9,1,District-Saharanpur,Rural,20-29,371,619,604,259,192,1428,614,501,264
C4920,9,1,District-Saharanpur,Rural,30-39,265,479,449,203,143,871,476,343,201
C4920,9,1,District-Saharanpur,Rural,40-49,304,418,397,140,123,631,249,243,169
C4920,9,1,District-Saharanpur,Rural,50-59,311,299,302,81,72,381,218,122,77
C4920,9,1,District-Saharanpur,Rural,60-69,553,336,309,67,54,406,294,71,68
C4920,9,1,District-Saharanpur,Rural,70-79,397,245,272,44,28,236,201,33,44
C4920,9,1,District-Saharanpur,Rural,80-89,181,109,101,8,14,110,102,23,15
C4920,9,1,District-Saharanpur,Rural,90+,50,62,57,6,6,44,38,13,9
C4920,9,1,District-Saharanpur,Rural,Age Not Stated,41,81,63,44,30,38,22,17,4
C4920,9,1,District-Saharanpur,Urban,0-4,80,168,141,13,12,51,34,32,19
C4920,9,1,District-Saharanpur,Urban,5-9,97,191,175,81,63,67,47,75,46
C4920,9,1,District-Saharanpur,Urban,10-19,192,499,415,181,128,401,277,298,172
C4920,9,1,District-Saharanpur,Urban,20-29,156,478,294,124,93,454,245,280,128
C4920,9,1,District-Saharanpur,Urban,30-39,131,256,256,100,65,338,159,165,87
C4920,9,1,District-Saharanpur,Urban,40-49,153,242,169,66,52,278,107,160,83
C4920,9,1,District-Saharanpur,Urban,50-59,155,160,150,39,44,212,119,70,42
C4920,9,1,District-Saharanpur,Urban,60-69,179,118,160,27,17,224,165,42,33
C4920,9,1,District-Saharanpur,Urban,70-79,108,99,120,16,13,118,120,18,10
C4920,9,1,District-Saharanpur,Urban,80-89,58,41,42,8,9,47,49,2,8
C4920,9,1,District-Saharanpur,Urban,90+,11,19,12,0,0,17,15,5,5
C4920,9,1,District-Saharanpur,Urban,Age Not Stated,19,97,107,11,11,21,7,10,4
C4920,9,2,District-Muzaffarnagar,Rural,0-4,228,367,366,23,14,161,114,68,37
C4920,9,2,District-Muzaffarnagar,Rural,5-9,313,501,419,264,181,351,177,219,125
C4920,9,2,District-Muzaffarnagar,Rural,10-19,647,1037,919,503,328,2090,1185,771,462
C4920,9,2,District-Muzaffarnagar,Rural,20-29,425,673,538,292,172,1863,784,485,193
C4920,9,2,District-Muzaffarnagar,Rural,30-39,346,502,435,183,118,1117,514,349,154
C4920,9,2,District-Muzaffarnagar,Rural,40-49,337,436,333,144,99,694,323,209,141
C4920,9,2,District-Muzaffarnagar,Rural,50-59,331,335,326,81,60,477,250,118,86
C4920,9,2,District-Muzaffarnagar,Rural,60-69,576,355,405,68,46,528,336,82,78
